artista,resumen,popularidad,reproducciones,similares
El Cuarteto De Nos,"El Cuarteto de Nos is an Uruguayan alternative rock band formed in 1984 in Montevideo. The band was originally comprised of the Musso brothers (Roberto and Riki Musso) and Santiago Tavella, who they had met in high school. In 1984 they released their debut album, a split LP with uruguayan candombe musician Alberto Wolf under the Ayuí / Tacuabé label. Leonardo Baroncini was hired to be a guest drummer on the record.

In March 1987 they released Soy una arveja <a href=""https://www.last.fm/music/El+Cuarteto+De+Nos"">Read more on Last.fm</a>",206155,13698738,"['La Vela Puerca', 'No Te Va Gustar', 'Hombres G', 'Soda Stereo', 'Fito Páez']"
Heiruspecs,"“We started out playing in high school in St. Paul to a crowd of hip-hop kids, thug kids, nerd kids and honor students,” Heiruspecs bassist Twinkie Jiggles says. “Eventually, the school paper wrote about us and said we were the best band out of Central High since Mint Condition. Then we played our first gig in Minneapolis when I was 15 and my dad showed up and smelled weed.”

Not many bands lock into their sound in high school or manage to hang together for seven years <a href=""https://www.last.fm/music/Heiruspecs"">Read more on Last.fm</a>",66654,730369,"['Sims', 'Kristoff Krane', 'Cecil Otter', 'Doomtree', 'P.O.S.']"
Calle 13,"Calle 13 is a Latin Grammy Award winner (with a record of 21 wins, making them the artists with most wins in history) and three time Grammy Award-winning hip hop and alternative duo from San Juan, Puerto Rico, formed by stepbrothers René Pérez Joglar (born on February 23, 1978), who calls himself Residente (lead singer, writer) and Eduardo José Cabra Martínez (born on September 10, 1978) who calls himself Visitante (multi-instrumentalist, particularly keyboards, vocals, beat producer) in 2005. <a href=""https://www.last.fm/music/Calle+13"">Read more on Last.fm</a>",509052,12295368,"['Residente', 'Tego Calderón', 'Canserbero', 'Don Omar', 'Daddy Yankee']"
Lily Allen,"Lily Rose Beatrice Allen (born 2 May 1985), known professionally as Lily Allen, is an English singer/songwriter, hailing from London, United Kingdom. Allen left school when she was 15 and concentrated on improving her performing and compositional skills. She started her musical career in 2002 by signing to London Records. In 2005, she made some of her recordings public on Myspace and the publicity resulted in airplay on BBC Radio 1 and a contract with Regal Recordings. <a href=""https://www.last.fm/music/Lily+Allen"">Read more on Last.fm</a>",3063137,90914741,"['Kate Nash', 'Tove Lo', 'Little Boots', 'Natalia Kills', 'Nicola Roberts']"
Idris Muhammad,"Idris Muhammad (November 13, 1939 - July 29, 2014)  was a jazz  drummer.  Born in New Orleans, Louisiana as Leo Morris before changing his name in the 1960s upon his conversion to Islam. He is known for his funky playing style. He has released a number of albums as leader, and has played with a number of jazz legends including Lou Donaldson, Johnny Griffin, Pharoah Sanders and Grover Washington, Jr. In 2011 he toured internationally with pianist Ahmad Jamal.   <a href=""https://www.last.fm/music/Idris+Muhammad"">Read more on Last.fm</a>",231201,1696415,"['Johnny Hammond', 'Lonnie Liston Smith & The Cosmic Echoes', 'Donald Byrd', 'Azymuth', 'Roy Ayers']"
Timati,"Timati (Timur Yunusov, born on August 15, 1983) is a Russian rapper, contemporary R&B music producer, and businessman from Moscow, Russia. Having been commercially successful in Russia and abroad, he collaborated with muliple popular artists from Western Europe and North America, including Snoop Dogg, P. Diddy, Xzibit, Busta Rhymes, Xzibit, Mario Winans, Craig David, Eve, Fat Joe, and DJ Antoine.

Timati started in 1998 as a member of hip-hop group VIP77 <a href=""https://www.last.fm/music/Timati"">Read more on Last.fm</a>",70231,772266,"['Dima Bilan', 'Мот', 'Kristina Si', 'Тимати', 'Skryptonite']"
Aventura,"From their roots as a Bronx-based boy band fusing bachata with hip-hop, R&B, and pop, Aventura have becme one of the most influential Latin groups of all time. Their primary signature comprises inimitable, elegant, four-part harmonies, earworm melodic hooks, and rhythmic imagination. Beginning with 2005's ""Ella y Yo"" (feat. Don Omar) they placed numerous singles inside the Top Ten, including the chart-toppers ""Por un Segundo"" and ""Dile al Amor."" Further <a href=""https://www.last.fm/music/Aventura"">Read more on Last.fm</a>",790755,16230678,"['Romeo Santos', 'Monchy & Alexandra', 'Prince Royce', 'Anthony Santos', 'Raulin Rodriguez']"
Black Moon,"There are four bands by the name of Black Moon:

1)  Black Moon (Brothers who Lyrically Act and Combine Kickin Music Out On Nations) is a Hip Hop group from Brooklyn, New York which debuted in 1992, with the release of the single ""Who Got Da Props?"". The song became something of an underground phenomenon, and charted on the Billboard Hot 100. With the help of DJ Chuck Chillout, the group landed a record deal with Nervous Records for the release of their debut album Enta Da Stage, released in late 1993. <a href=""https://www.last.fm/music/Black+Moon"">Read more on Last.fm</a>",326727,3309498,"['Smif-n-Wessun', 'Heltah Skeltah', 'Jeru the Damaja', 'Group Home', 'Brand Nubian']"
Janelle Monáe,"Janelle Monáe (born Janelle Monáe Robinson on December 1, 1985 in Kansas City, Kansas) is an American singer, songwriter, dancer, producer, actor and performer.

They moved to New York to study theatre at the American Musical and Dramatic Academy. Their original plan was to pursue a career on Broadway, but they soon changed their mind and returned to music. After moving to Atlanta, Georgia in 2003,  Monáe founded the Wondaland Arts Society with like-minded young artists <a href=""https://www.last.fm/music/+noredirect/Janelle+Mon%C3%A1e"">Read more on Last.fm</a>",1159100,46146003,"['Solange', 'Victoria Monét', 'Jessie Ware', 'Chloe x Halle', 'Amaarae']"
Otis Redding,"Otis Ray Redding Jr. (September 9, 1941 – December 10, 1967) was an American singer, songwriter, record producer, arranger, and talent scout. He is considered one of the greatest singers in the history of American popular music and a seminal artist in soul music and rhythm and blues. Redding's style of singing gained inspiration from the gospel music that preceded the genre. His singing style influenced many other soul artists of the 1960s. During his lifetime, his recordings were produced by Stax Records, based in Memphis, Tennessee. <a href=""https://www.last.fm/music/Otis+Redding"">Read more on Last.fm</a>",2127737,37532637,"['Otis Redding & Carla Thomas', 'Sam Cooke', 'Wilson Pickett', 'Sam & Dave', 'Al Green']"
Foreign Beggars,"Voted ""Best Group"" and winners of ""Best single"" at the Lyric Pad Hip hop awards 2005, Foreign Beggars for London are a 4 man crew comprising of rappers Orifice Vulgatron and Metropolis, Dj NoNames and Producer Dag Nabbit. 

The Badman Riddim (Jump) Songfacts reports that Orifice Vulgatron and Dag Nabbit met in Dubai and after making drum and bass for a time they switched to hip hop. DJ Nonames met Metropolis at university in 2000 and the duo joined hip hop and funk band Focused Few and began throwing warehouse parties and touring. <a href=""https://www.last.fm/music/Foreign+Beggars"">Read more on Last.fm</a>",246938,3457031,"['I Am Legion', 'Virus Syndicate', 'Dope D.O.D.', 'Ocean Wisdom', 'Modestep']"
Eric Legnini Trio,"Born in Huy, Belgium, on February 20 1970, Eric Legnini is one of the most talented young pianists around.

After spending two years working in New York with American pianist Richie Beirach, Eric Legnini is now performing and touring Europe with his own group.

Eric Legnini has played with leading musicians such as John Ruocco, Félix Simtaine, Michel Hatzi, Dré Palemaerts, Emanuel Cisi, Toninho Horta, Philippe Catherine, Serge Reggiani, Hein van de Geyn, Marcia Maria, Jacques Pelzer, Aldo Romano, André Ceciarelli, Belmondo 5tet. <a href=""https://www.last.fm/music/Eric+Legnini+Trio"">Read more on Last.fm</a>",28672,234220,"['Joel Lyssarides', 'Aldo Romano', 'FRED NARDIN TRIO', 'Anat Fort Trio', 'Brian Blade & The Fellowship Band']"
Mac Dre,"Andre Hicks (July 5, 1970 - November 1, 2004), better known by his stage name, Mac Dre, was a Bay Area based gangsta rapper from the Crest side of Vallejo, California, active since 1988 and considered one of the predecessors of the hyphy movement. During his career in the rap world, he worked with artists like Andre Nickatina, Yukmouth, Snoop Dogg, Mac Mall, Dubee and Keak da Sneak.

Career

Mac Dre's music gained popularity in the early to mid 1990s throughout the Bay Area <a href=""https://www.last.fm/music/Mac+Dre"">Read more on Last.fm</a>",203216,3392376,"['Andre Nickatina', 'The Jacka', 'E-40', 'Mistah F.A.B.', 'Mac Mall']"
Sage Francis,"Paul ""Sage"" Francis (born November 18, 1976 in Miami, Florida) is a hip-hop artist based in Providence, Rhode Island. 

Noted for his intense flow and sharp wit, Francis has won acclaim both as a freestyle battler and as an unapologetic, intellectual lyricist. Francis uses a broad emotional palette to address a wide range of personal, cultural, and political issues. His unconventional style and persona have given him crossover appeal, but at the same time alienated some hip-hop listeners.  <a href=""https://www.last.fm/music/Sage+Francis"">Read more on Last.fm</a>",342924,10844175,"['Non-Prophets', 'Atmosphere', 'Buck 65', 'Brother Ali', 'Doomtree']"
Paulina Rubio,"Paulina Susana Rubio Dosamantes (born 17 June 1971 in Mexico City), known as Paulina Rubio is a Mexican singer-songwriter. Referred to as ""Queen of Latin Pop"" and ""The Golden Girl"".

She first achieved recognition as a member of the successful pop group Timbiriche from 1982 through 1991. Rubio's first two solo albums, La Chica Dorada and 24 Kilates, were commercial successes and made her then EMI Latin's best-selling Mexican female artist. In the mid-1990s <a href=""https://www.last.fm/music/Paulina+Rubio"">Read more on Last.fm</a>",405836,13265070,"['Fey', 'Alejandra Guzmán', 'Gloria Trevi', 'Thalía', 'Belinda']"
DJ Soulscape,"If a single artist represents 'The Sound Of Seoul', it is DJ Soulscape. A vinyl archeologist who excavates rare, indigenous beats, he delivers a groovy bi-bim-bop mix of old school Korean rock, soul, disco, and boogaloo served sizzling hot in a funky, fresh hip-hop style. A favorite among clubbers and critics alike, DJ Soulscape has been nominated as the Crossover Artist of the Year at the Korea Music Awards (2003) and honored as the creative genius behind one of the top 100 K-Pop Albums of the 20th Century (2008). <a href=""https://www.last.fm/music/DJ+Soulscape"">Read more on Last.fm</a>",4362,112544,"['Loptimist', 'Krucifix kricc', 'P-Type', 'CB Mass', 'Kebee']"
V.I.C.,"Victor Grimmy Owusu (born July 20, 1987), better known by his stage name V.I.C., is an American rapper from Atlanta, Georgia. His hit single, ""Get Silly"", reached #29 on the Billboard Hot 100 chart in 2008.

V.I.C. was born in Queens, New York to an American mother and a Ghanaian father.At ten he wrote his first song, a drug awareness rap for his elementary school. Later that year he moved with his family to College Park, Georgia, an Atlanta suburb. <a href=""https://www.last.fm/music/V.I.C."">Read more on Last.fm</a>",186546,774880,"['Unk', 'Cupid', 'Travis Porter', 'D4L', 'Cali Swag District']"
The Goo Goo Dolls,"The Goo Goo Dolls are an alternative rock band that formed in 1986 in Buffalo, New York. They are perhaps most famous for the hit ""Iris,"" featured on the soundtrack to the 1998 film City of Angels. Currently, the band consists of three members:

    * Johnny Rzeznik - Vocals, guitar (Founding member)
    * Robby Takac - Vocals, bass (Founding member)
    * Mike Malinin - Drums (Hired in 1995, made official member in 1998)

Founded in Buffalo, New York <a href=""https://www.last.fm/music/+noredirect/The+Goo+Goo+Dolls"">Read more on Last.fm</a>",1280576,19912090,[]
The Pharcyde,"The Pharcyde (pronounced ""far side"") is an American alternative hip-hop group, formed in 1989, from South Central Los Angeles. The original four members of the group are Imani (Emandu Wilcox), Slimkid3 (Trevant Hardson), Bootie Brown (Romye Robinson), and Fatlip (Derrick Stewart). DJ Mark Luv was the group's first disc jockey (DJ), followed by producer J-Swift and then J Dilla.

The group is perhaps best known for the hit singles ""Drop"", ""Passin' Me By"" and ""Runnin''"", as well as their first album, Bizarre Ride II the Pharcyde. <a href=""https://www.last.fm/music/The+Pharcyde"">Read more on Last.fm</a>",1104817,18676240,"['Souls of Mischief', 'A Tribe Called Quest', 'Pete Rock & C.L. Smooth', 'Digable Planets', 'Slum Village']"
September,"There are more than one artist by this name.

1.) A Swedish dance singer. a.k.a. Petra Marklund
2.) A  progressive jazz / rock band from ex-Yugoslavia. 
3.) An emo band from the 90's from California. 
4.) A Doom/Death Metal band from Sweden 
5.) Screamo band from Elkton, Maryland.
6.) A short-lived seventies rock band from Amsterdam, The Netherlands


1.) Petra Linnea Paula Marklund better known as September (born in Stockholm, Sweden on 12 September 1984) is a Swedish dance singer. <a href=""https://www.last.fm/music/September"">Read more on Last.fm</a>",825028,9987118,"['Kate Ryan', 'Agnes', 'Dannii Minogue', 'Danny Saucedo', 'Petra Marklund']"
Sertab Erener,"Sertab Erener (born December 4, 1964, Istanbul, Turkey) is a well-known Turkish pop star, who won the Eurovision Song Contest 2003 with Every Way That I Can in Riga, Latvia.

She was originally educated professionally as an opera singer and has a well-tamed soprano voice. However, she proceeded to establish herself in popular music.

Initially working with Sezen Aksu, another significant Turkish music star, she released her first album Sakin Ol in 1992, followed by Lal (1994), Sertab Gibi (1996), Sertab (1999) and Turuncu (2001). <a href=""https://www.last.fm/music/Sertab+Erener"">Read more on Last.fm</a>",178303,4334270,"['Sezen Aksu', 'Candan Erçetin', 'Göksel', 'Nil Karaibrahimgil', 'Ajda Pekkan']"
THA BLUE HERB,"Tha Blue Herb is a japanese hip hop group from Sapporo. There are three members: emcee Ill-Bosstino (Boss the MC), track producer O.N.O, and live dj DJ DYE. They started their own scene in their home town and are now at the helm of a record label to help artists from different genres (like breakbeat, dub or other rappers). They have recorded four albums, ""Stilling, Still Dreaming"", ""Sell Our Souls"", ""Life Story"", ""Total"" and recorded a mostly instrumental album for the movie ""Heat"" (not the american movie of the same name). <a href=""https://www.last.fm/music/THA+BLUE+HERB"">Read more on Last.fm</a>",16428,730698,"['Tha Boss', 'RHYMESTER', 'Buddha Brand', 'スチャダラパー', 'ZEEBRA']"
Dizzy Gillespie,"John Birks ""Dizzy"" Gillespie (October 21, 1917 – January 6, 1993) was an American jazz trumpeter, bandleader, composer and occasional singer.

Dizzy Gillespie was a trumpet virtuoso and improviser, building on the virtuoso style of Roy Eldridge but adding layers of harmonic complexity previously unknown in jazz. His beret and horn-rimmed spectacles, his scat singing, his bent horn, pouched cheeks and his light-hearted personality were essential in popularizing bebop. <a href=""https://www.last.fm/music/Dizzy+Gillespie"">Read more on Last.fm</a>",667924,6150567,"['Charlie Parker', 'Fats Navarro', 'Clifford Brown', 'Horace Silver', 'Hank Mobley']"
Gasoline,"There are at least four bands named Gasoline.

1) Gasoline is a music group formed in 1998 by Yoann agency.  The musical style of Gasoline, under the abstract hip-hop and hip-hop is characterized by scenes from noir films. Gasoline released two albums, ""Journey Into Abstract Hip Hop"" and ""Snap Your Neck Back"".

2) Japan GASOLINE: GAN (guitar, vocal), GONNA-MOVE (bass, chorus), JUSTEEN (drums)

The firestorm that is known as GASOLINE is now ablaze! In 1993, the fire was lit. <a href=""https://www.last.fm/music/Gasoline"">Read more on Last.fm</a>",44531,483782,"['Funky Waves', 'GooMar', 'Jazz Liberatorz', 'Ours Samplus', 'Senbeï']"
Bowling For Soup,"
Bowling for Soup (acronym: BFS, or sometimes B4S) is a pop punk band based in Denton, Texas (but originally from Wichita Falls, Texas) formed in 1994 from the remains of an old metal band. Quoting Jaret Reddick, the lead singer, ""we wanted to make happy music"". They're known for their often humorous lyrics, upbeat guitar riffs, and Jaret's distinctive voice.

They are best known for their singles ""Girl All The Bad Guys Want"" in 2002 on Drunk Enough <a href=""https://www.last.fm/music/Bowling+for+Soup"">Read more on Last.fm</a>",1379157,25200019,"['Patent Pending', 'SR-71', 'Good Charlotte', 'American Hi-Fi', 'Less Than Jake']"
T-Bone Walker,"T-Bone Walker (Aaron Thibeaux Walker, May 28, 1910, Linden, Texas — March 16, 1975, Los Angeles, California) was an American blues guitarist, singer, pianist and songwriter who was one of the most important pioneers of the electric guitar. His electric guitar solos were among the first heard on modern blues recordings and helped set a standard that is still followed.

Walker was born in Linden, Texas of African and Cherokee descent. Walker's parents, Movelia Jimerson and Rance Walker, were both musicians. <a href=""https://www.last.fm/music/T-Bone+Walker"">Read more on Last.fm</a>",302895,2249754,"['Freddie King', 'Sonny Boy Williamson II', 'Otis Rush', 'Elmore James', ""Lightnin' Hopkins""]"
Jamie Lancaster," <a href=""https://www.last.fm/music/Jamie+Lancaster"">Read more on Last.fm</a>",65308,373387,"['Jazzystics', 'George White Group', 'Cassandra Beck', 'The Cooltrane Quartet', 'James Farrelli']"
Marsmobil,"Roberto Di Gioia, the musical force behind Marsmobil  was born in Milan in 1965. He began playing piano at age 4. His favourite music: the Beatles. In 1975 he began his studies at the musicial highschool in Eichstaett and after graduating in 1984 moved to Munich where he began his career as a professional musician. Jointly signed to Kruder & Dorfmeister's label G-Stone, and Compost recordings, Marsmobil won the 2006 contract for a theme song to the FIFA World cup games in Munich.

Their followup album ´Minx´ came out in September 2006. <a href=""https://www.last.fm/music/Marsmobil"">Read more on Last.fm</a>",80737,1305862,"['Soma Sonic', 'Zimpala', 'The Mighty Bop', 'Rainstick Orchestra', 'Slow Train Soul']"
Sheryfa Luna,"Sheryfa Luna (born Chérifa Babouche on January 25, 1989) is an French-Algerian R&B singer born to an Algerian father of Kabyle origin and a French mother.

She won the fourth series of the French edition of popular Popstars in October 2007.  Her self titled debut album peaked at #3 in France and was certified Gold there.

She has released three singles ""Quelque part"" (Somewhere Else) and ""Il avait les mots"" (He Had Words), both went to #1 in France. ""D'ici et D'Ailleurs"" (Here and Elsewhere) was released in March 2008. <a href=""https://www.last.fm/music/Sheryfa+Luna"">Read more on Last.fm</a>",42968,410897,"['Kenza Farah', ""Shy'm"", 'Zaho', 'Léa Castel', 'Vitaa']"
Kany García,"Encarnita ""Kany"" García De Jesus (born September 25, 1982 in Toa Baja, Puerto Rico) is a Puerto Rican singer-songwriter. García first appeared on television in 2004 as a contestant on Objetivo Fama. She is widely considered the most successful non-winner in the history of the show.

Kany García is born to a Spaniard father and Puerto Rican mother. García's father, Antonio, who gave up the priesthood when he met Shela, Encarnita García de Jesús, or Kany, grew up in a house where music was not only played, but also lived. <a href=""https://www.last.fm/music/+noredirect/Kany+Garc%C3%ADa"">Read more on Last.fm</a>",122396,1569821,"['Fonseca', 'Yuridia', 'Jesse & Joy', 'Ha*Ash', 'Reik']"
Renan Luce,"Renan Luce (born on the 5 March 1980, Paris) is a French singer-songwriter. Born in Paris, Luce spent all his childhood and adolescence in Plourin-les-Morlaix, Brittany. He is married to Lolita Sechan, the daughter of famous French singer Renaud. His debuted in 2006, releasing his first album Repenti within the European francophone countries and a year later in Canada. In 2009 his second album Le clan des miros was released. <a href=""https://www.last.fm/music/Renan+Luce"">Read more on Last.fm</a>",114859,1287231,"['Bénabar', 'CALI', 'Tryo', 'Renaud', 'Ridan']"
Huey Lewis & The News,"Huey Lewis & the News are an American rock band based in San Francisco, California. They had a run of hit singles during the 1980s and early 1990s, scoring a total of 19 top-ten singles across the US Billboard Hot 100, Adult Contemporary and Mainstream Rock charts. Their greatest success was with their number-one album, 'Sports'. Their worldwide fame expanded when their recording of ""The Power of Love"" was featured as a key track in the 1985 movie ""Back to the Future"" (in which Huey Lewis made a cameo appearance). <a href=""https://www.last.fm/music/Huey+Lewis+&+The+News"">Read more on Last.fm</a>",1061539,11987977,"['John Mellencamp', 'Steve Winwood', 'Rick Springfield', 'Eddie Money', 'Kenny Loggins']"
Mancha De Rolando," <a href=""https://www.last.fm/music/+noredirect/Mancha+De+Rolando"">Read more on Last.fm</a>",19785,219491,[]
Os Paralamas Do Sucesso,"Three young guys who had in common their love for rock, reggae and ska - Herbert Vianna, Bi Ribeiro and João Barone - formed the group Paralamas at the beginning of the 80’s inspired by the sonority of groups as The Police, The Beat and The Specials, that used to recycle the rhythms created in Jamaica. 

Stimulated by the talent and the interest in the rising phenomenon of the Brazilian Rock, soon they had recorded their first LP “Cinema Mudo” <a href=""https://www.last.fm/music/Os+Paralamas+Do+Sucesso"">Read more on Last.fm</a>",424118,10612834,"['Titãs', 'Barão Vermelho', 'Capital Inicial', 'Ira!', 'Biquini Cavadão']"
Sultan,"There are at least five bands with the name Sultan:

1. An illustrious DJ/producer from Canada.

2. Sultan was a heavy metal band from Switzerland. 

3. Sultan is a Russian female-fronted metal band that covered the Metallica songs ""Fade to Black & No Leaf Clover.""

4. Sultan is an ethnic-techno project of Peter Kuhlmann (Pete Namlook) and Burhan Öçal.

5. Sultan is the name of the project based in Brooklyn, NY by Kayla Cohen.

6. Sultan is a balkanorchestra from the Netherlands <a href=""https://www.last.fm/music/Sultan"">Read more on Last.fm</a>",53911,269178,"['La Fouine', 'Rohff', 'Seth Gueko', 'Sefyu', 'Psy 4 de la Rime']"
Silvestre Dangond,"Silvestre Francisco Dangond Corrales aka Silvestrong (Born May 12, 1980 in Urumita, La Guajira) is a Colombian Vallenato singer, composer and Timbales player. Dangond is considered one of the mainstream representatives of the ""new wave"" of vallenato musicians.


Early years

Dangond grew up back and forward between his birthplace Urumita and Valledupar, but mostly in this last one, where his parents moved when he was just a year old to Valledupar due to financial hardships. <a href=""https://www.last.fm/music/Silvestre+Dangond"">Read more on Last.fm</a>",77367,1143629,"['Diomedes Díaz', 'Binomio De Oro', 'Los Diablitos', 'Binomio de Oro de América', 'Carlos Vives']"
Moriarty,"Moriarty is a Franco-american music group founded in 1995.  It is made up of 5 artists of French, American, Swiss, and Vietnamese origins.  The members of the group were mainly raised in France.  The group named itself Moriarty in honor of Dean Moriarty, the hero of On the Road by Jack Kerouac.  Previously, the groupe had three other members: the singer Charlène Dupuy, the drummer  Médéric de Vanssay, and the saxophonist Davide Woods.   Rosemary Standley, Arthur B. <a href=""https://www.last.fm/music/Moriarty"">Read more on Last.fm</a>",214674,3082582,"['Cocoon', 'Alela Diane', 'Hindi Zahra', 'Yodelice', 'Lou Doillon']"
Chamillionaire,"Hakeem Seriki (born November 28, 1979 in Houston, Texas) is a Grammy Award nominated rapper, member of The Color Changin' Click and founder of Chamillitary Entertainment. Better known as Chamillionaire, he also uses nicknames such as The Mixtape Messiah, King Koopa, Color Changin' Lizard, Chamillinator, Chamillitary Mayne, Major Payne and The Truth From Texas. He began rapping in 1998, releasing mixtapes and a collab album with fellow Houston rapper Paul Wall. <a href=""https://www.last.fm/music/Chamillionaire"">Read more on Last.fm</a>",1135649,11159868,"['Slim Thug', 'Young Buck', 'T.I.', 'Bun B', ""Lil' Flip""]"
Afu-Ra,"Afu-Ra is a Hip hop artist from New York City. Afu, born Aaron Phillip, is a devout student of the Martial arts, as well as Chess. He entered the Hip Hop scene as a member of the Gang Starr Foundation, alongside rappers like Jeru the Damaja, Big Shug and Group Home. 

His first appearance was on Jeru the Damaja's classic 1994 album The Sun Rises in the East, on the song ""Mental Stamina"". He made another appearance on Jeru's sophomore album Wrath of the Math, on the track ""Physical Stamina"", in 1996. <a href=""https://www.last.fm/music/Afu-Ra"">Read more on Last.fm</a>",199956,2142493,"['Jeru the Damaja', 'Dilated Peoples', 'Group Home', 'Artifacts', 'The Beatnuts']"
Duo Kie,"Duo Kie nace en 1998 como consecuencia de la amistad que surgió entre Locus y Nerviozzo, tras un colaboración entre ambos en 1997, gracias a Kool Dj X, Dj de Nerviozzo por aquel entonces. Ambos habían desarrollado su carrera en solitario habiendo publicado un disco cada uno.

El primer disco juntos se tituló ""2000 y pico"", si bien todavía no se llamaba Duo Kie, sino que el disco se publicó con los nombres de ""Nerviozzo + Locus Amenus"". Así <a href=""https://www.last.fm/music/Duo+Kie"">Read more on Last.fm</a>",12500,318442,"['A3bandas', 'Xhelazz', 'Shotta', 'Falsalarma', 'Sho-Hai']"
Black Taboo,"Black Taboo is a gangsta rap group from Orsainville, Québec.  <a href=""https://www.last.fm/music/Black+Taboo"">Read more on Last.fm</a>",2066,26125,"['Sans Pression', 'Omnikrom', 'Anodajay', 'Loco Locass', 'Caya']"
Lloyd,"1. Lloyd Polite, Jr. (born January 3, 1986 in New Orleans, Louisiana) is an American R&B singer, rapper, dancer and actor signed to a joint venture between Interscope, Polow da Don's label Zone 4 and his own label Young Goldie Music. First discovered at the age of 12 when in the group N-Toon with his brother, he released his debut solo album Southside in 2004. He followed this with 2007's Street Love and 2008's Lessons in Love. His fourth studio album, King of Hearts, was released July 2011. <a href=""https://www.last.fm/music/Lloyd"">Read more on Last.fm</a>",1255082,11090609,"['Trey Songz', 'August Alsina', 'Jagged Edge', 'Pretty Ricky', '112']"
Ape,"There are at least Three bands called ‘Ape’. 

1.)  Ape consists of ex-members from Disagree and Hurting Progress, two metal bands that split up in the late nineties. 

Despite having deep roots in the Hardcore and Metal scene, this colorful Stockholm based band's musical expression reaches far beyond any specific genre. Each member has a long history of writing songs and performing on stage. 

The creative rules are very simple: Anything goes, as long as it sounds good. <a href=""https://www.last.fm/music/Ape"">Read more on Last.fm</a>",12011,90481,"['Mistaman', 'Turi', 'Cor Veleno', 'Duplici', 'Stokka & Madbuddy']"
Ricardo Arjona,"Edgar Ricardo Arjona Morales, (born 19 January 1964, Jocotenango, Guatemala), known as Ricardo Arjona (pronounced /aɾ'xona/), is a popular Guatemalan singer. He has won two Grammy Awards from three nominations: The 2007 Grammy for Best Latin Pop Album and the 2006 Latin Grammy for Best Male Pop Vocal Album, both for his album Adentro, (2005).

History

Ricardo was born in the village of Jocotenango, near Antigua, Guatemala to Ricardo Arjona Moscoso and Noemí Morales de Arjona. <a href=""https://www.last.fm/music/Ricardo+Arjona"">Read more on Last.fm</a>",341383,7030974,"['Alejandro Sanz', 'Sin Bandera', 'Franco De Vita', 'Ricardo Montaner', 'Chayanne']"
Emahoy Tsege Mariam Gebru,"Emahoy Tsege Mariam Gebru is a true original – an Ethiopian nun whose recordings have funded orphanages back home since the early ’60s. Her compositions and unique playing style live somewhere between Erik Satie, Debussy, liturgical music of the Coptic Ethiopian Church, and Ethiopian traditional music. It is some of the most moving piano music you will ever hear.
Guèbrou died on 26 March 2023 in Jerusalem, at the age of 99.Her funeral was held at the Kidane Mehret Ethiopian Orthodox Church in Jerusalem <a href=""https://www.last.fm/music/Emahoy+Tsege+Mariam+Gebru"">Read more on Last.fm</a>",66554,714119,"['Mulatu Astatke', 'Emahoy Tsegué-Maryam Guèbrou', 'Mahmoud Ahmed', 'Alabaster Deplume', 'Gétatchèw Mèkurya']"
Los Piojos,"Los Piojos was an argentine rock band born in 1987, originally formed in El Palomar, Buenos Aires. The band was lead by Andrés Ciro Martinez  (principal songwriting, harmonica, and vocalist). The line-up was completed by Gustavo Hernán ""Kupi"" Kupinsky (rhythm/lead guitar, backing vocals), Miguel Ángel ""Micky"" Rodríguez  (bass guitar, backing vocals) Daniel ""Piti"" Fernández (rhythm/lead guitar, backing vocals) and Daniel Buira (drums) [later, he was replaced by Sebastián ""Roger"" Cardero (drums)]. <a href=""https://www.last.fm/music/Los+Piojos"">Read more on Last.fm</a>",98621,2717696,"['Ciro y Los Persas', 'Patricio Rey y sus Redonditos de Ricota', 'Divididos', 'Callejeros', 'Intoxicados']"
Sékouba Bambino,"Sekouba ""Bambino"" Diabaté is the stage name of Sekouba Diabaté, a singer and musician born in Guinea, West Africa in 1964.

Bambino was born and raised in the village of Kintinya, some 25 kilometers from the town of Siguiri, close to the border with Mali. He was born into a musical family, and is descended from a long line of griot people, known in some Mande languages as jeli. His mother died when he was three years old, but left behind a legacy in the songs she had recorded that her son later heard on the radio <a href=""https://www.last.fm/music/S%C3%A9kouba+Bambino"">Read more on Last.fm</a>",7588,34124,"['Ami Koita', 'Kerfala Kante', 'Fode Kouyate', 'Fallou Dieng', 'Djeneba Seck']"
Sam Levine,"
I grew up in the midwest as the son of a university professor. I went to Harvard College and then later via Woodstock to  the University of Alaska for three years. Winding my way through the turbulent late 60′s and 70′s, I finished my education in applied music at Indiana University where I studied jazz with Dave Baker, flute with James Pellerite and saxophone with Eugene Rousseau. I added clarinet to my stable of instruments and studied studied traditional music theory and history. <a href=""https://www.last.fm/music/Sam+Levine"">Read more on Last.fm</a>",51476,314722,"['Denis Solee', 'Mason Embry Trio', 'Leif Shires', 'Jack Jezzro', 'Bladverk Band']"
Jahani," <a href=""https://www.last.fm/music/Jahani"">Read more on Last.fm</a>",5,11,[]
